id;id_customer;name;surname;address;telephone
1;17974;generating Market wireless;payment;a;0483373268
2;1585;functionalities;Yémen;Inde deposit;+33 284512
3;77288;mobile a Vaneau;Administrateur Progressive extranet;bypass Aquitaine Saint-Honoré;+33 728323
4;64810;transmit;Compatible Small;Chicken Account Dollar;+33 464102
5;39649;quantifying Games;Paix Languedoc-Roussillon Boétie;FTP Concrete;+33 470815
6;53552;Bourgogne;override;deposit Horizontal;+33 565406
7;15575;Manager overriding;technologies;Sausages;0149488295
8;43870;multi-tasking;Account;high-level compressing;+33 331012
9;69427;upward-trending Concrete wireless;Kids Open-source parsing;New c;+33 361875
10;46530;c system-worthy;b scale Jewelery;bypass Frozen;0557847778
