id;id_delivrer;id_cooperative;name;surname;telephone;latitude;longitude
1;84605;44577;open-source functionalities Koweït;integrated Toys;0158535430;43206;80504
2;46014;44507;bypassing;Sharable card;+33 220883;82705;9513
3;35917;90644;transmit Coordinateur;bluetooth bluetooth Account;+33 655897;68378;55178
4;11339;92767;Ergonomic Shirt;Tonga;+33 382771;5710;45457
5;47040;81495;Agent Awesome;Producteur B2B;+33 459141;47675;39767
6;34091;70550;utilize Dollar IB;online;+33 362060;27517;65864
7;60392;76052;Beauty firewall feed;Buckinghamshire state Plastic;+33 393982;24892;56265
8;55154;20810;Incredible Tuna innovative;edge connect;0445088637;7352;38481
9;82845;41095;Berkshire Agent;c Small;0585964252;12608;81425
10;91616;92802;Compatible disintermediate;solution-oriented;0355652523;32900;53154
